group,parameter,coeff
het_black_female,age,0.0009066729747183
het_black_female,age',-0.003334396328643
het_black_female,age'',0.0080484544205897
het_black_female,h1yy,0.0038261813048595
het_black_female,intercept,-6.27314719868245
het_black_male,age,0.0020866648360127
het_black_male,age',-0.0023824491214415
het_black_male,age'',0.0017889796770202
het_black_male,h1yy,0.0019239780795976
het_black_male,intercept,-2.5347567982584
het_hisp_female,age,0.0033987446326115
het_hisp_female,age',-0.0098431344954526
het_hisp_female,age'',0.01917195459276
het_hisp_female,h1yy,0.0097399854846648
het_hisp_female,h1yy',-0.0146535480599571
het_hisp_female,h1yy'',0.120070206105604
het_hisp_female,intercept,-18.1971397474501
het_hisp_male,age,0.0024539193502257
het_hisp_male,age',-0.0042061818324436
het_hisp_male,age'',0.0078502616107477
het_hisp_male,h1yy,0.0012039641287745
het_hisp_male,intercept,-1.10142058372594
het_white_female,age,-0.0007067591692067
het_white_female,h1yy,0.0012272894659749
het_white_female,intercept,-1.01500290671845
het_white_male,age,0.0001618821125787
het_white_male,h1yy,0.0014548755155166
het_white_male,intercept,-1.53151979425153
idu_black_female,age,-0.0014560136285052
idu_black_female,h1yy,0.002673774528321
idu_black_female,intercept,-3.88075077783032
idu_black_male,age,0.0021329253365324
idu_black_male,age',-0.0038564691587799
idu_black_male,age'',0.0181699738785222
idu_black_male,h1yy,0.0025333458470956
idu_black_male,intercept,-3.76391161701279
idu_hisp_female,age,-0.0010539118428188
idu_hisp_female,h1yy,0.0017498470844197
idu_hisp_female,intercept,-2.06887841485093
idu_hisp_male,agecat=30-39,0.0033766931996219
idu_hisp_male,agecat=40-49,0.0285504074011699
idu_hisp_male,agecat=50-59,0.0148795195414987
idu_hisp_male,agecat=60+,-0.0045818132221011
idu_hisp_male,h1yy,0.0046809834186823
idu_hisp_male,h1yy',-0.0103616606161505
idu_hisp_male,h1yy'',0.0483507537340307
idu_hisp_male,intercept,-7.99923748278492
idu_white_female,age,-0.0010539118428188
idu_white_female,h1yy,0.0017498470844197
idu_white_female,intercept,-2.06887841485093
idu_white_male,age,0.0016177483223716
idu_white_male,age',-0.0015224662902863
idu_white_male,age'',0.0020801596403587
idu_white_male,h1yy,0.0010185821679861
idu_white_male,h1yy',0.0035706439953641
idu_white_male,h1yy'',-0.0203162957486393
idu_white_male,intercept,-0.712252046739547
msm_black_male,age,0.003064399169043
msm_black_male,age',0.0006689964713308
msm_black_male,age'',-0.0067325347716451
msm_black_male,h1yy,0.0019828004341456
msm_black_male,intercept,-2.68656523841689
msm_hisp_male,age,0.0025718951698888
msm_hisp_male,age',-0.0019393350224224
msm_hisp_male,age'',0.0012619780868171
msm_hisp_male,h1yy,0.0015696935519009
msm_hisp_male,intercept,-1.84146079944238
msm_white_male,age,0.0033949765636587
msm_white_male,age',-0.0036570132695298
msm_white_male,age'',0.0053266640111932
msm_white_male,h1yy,0.0016853510617114
msm_white_male,intercept,-2.10711077438345

0f486d9d01eafbcaf99f7521ccc19c26239ec98a