group,p5,p35,p65,p95
het_black_female,19.5,26.3,32.3,46.75
het_black_male,20.2,24.7,28.4,37.6
het_hisp_female,19.8,24.95,30.6,45.3
het_hisp_male,20.2,24.7,28.4,37.6
het_white_female,19.8,24.95,30.6,45.3
het_white_male,20.2,24.7,28.4,37.6
idu_black_female,20.1,24.8,28.8,38.6
idu_black_male,19.6,23.6,26.9,34.65
idu_hisp_female,20.1,24.8,28.8,38.6
idu_hisp_male,20.0,23.8,26.9,33.5
idu_white_female,20.1,24.8,28.8,38.6
idu_white_male,20.0,23.8,26.9,33.5
msm_black_male,19.35,23.6,27.3,35.8
msm_hisp_male,20.1,24.1,26.9,34.1
msm_white_male,20.1,24.1,26.9,34.1

e765288baa567cbbfe275e8a53eecf9e019382e7