group,meanint,meanslp,stdint,stdslp
het_black_female,-812.503453835394,0.41243236713288406,-127.13394641290971,0.06685228762299322
idu_black_male,-1220.0573447092981,0.6152977999938233,-24.385376147750396,0.015500895258787846
idu_hisp_male,-1273.288457440001,0.6417561579838194,-387.44490698659354,0.19568703843939408
idu_black_female,-730.9659997456055,0.37256540071184574,-1056.4732398872354,0.5286000227921325
msm_black_male,-662.0098510068588,0.3378641252053549,-258.474347941226,0.13190523969394283
het_black_male,-609.6447159320179,0.31080115844737377,-240.91557883584656,0.1233295670175135
idu_white_male,-675.4945081788661,0.3450356676032519,-185.0706840544405,0.09536567992858992
het_hisp_female,-439.7950878214939,0.22757590761748808,-638.6521805273048,0.32110463252599974
het_hisp_male,-99.69984865206384,0.05678187433054661,-322.3335386093959,0.16383606941919263
msm_hisp_male,-798.8809291905693,0.4061058200610851,-306.87713113018503,0.15574656455562055
idu_white_female,-517.8964139485694,0.26595633170346644,-660.6722245430814,0.33200779192053465
msm_white_male,-636.0295783952351,0.32577896921960653,-300.81199205322616,0.15284184489545477
het_white_male,-660.4141629746124,0.33622598766967177,-392.62897485191417,0.1986309142861712
idu_hisp_female,16.071148516460795,0,6.556533760703513,0
het_white_female,-791.3020081058837,0.4024039972358089,-357.39108170878137,0.18123997558472413

a31cdd1c164bba724e91346909007e0e4475204f