group,intercept,year,age,age1,age2,tv_sqrtcd4n,tv_sqrtcd4n1,tv_sqrtcd4n2
het_black_female,106.3368,-0.0546,0.0282,0.0887,-0.4368,-0.1661,0.0864,0.0099
het_black_male,106.3368,-0.0546,0.0282,0.0887,-0.4368,-0.1661,0.0864,0.0099
het_hisp_female,106.3368,-0.0546,0.0282,0.0887,-0.4368,-0.1661,0.0864,0.0099
het_hisp_male,106.3368,-0.0546,0.0282,0.0887,-0.4368,-0.1661,0.0864,0.0099
het_white_female,106.3368,-0.0546,0.0282,0.0887,-0.4368,-0.1661,0.0864,0.0099
het_white_male,106.3368,-0.0546,0.0282,0.0887,-0.4368,-0.1661,0.0864,0.0099
idu_black_female,106.3368,-0.0546,0.0282,0.0887,-0.4368,-0.1661,0.0864,0.0099
idu_black_male,106.3368,-0.0546,0.0282,0.0887,-0.4368,-0.1661,0.0864,0.0099
idu_hisp_female,106.3368,-0.0546,0.0282,0.0887,-0.4368,-0.1661,0.0864,0.0099
idu_hisp_male,106.3368,-0.0546,0.0282,0.0887,-0.4368,-0.1661,0.0864,0.0099
idu_white_female,106.3368,-0.0546,0.0282,0.0887,-0.4368,-0.1661,0.0864,0.0099
idu_white_male,106.3368,-0.0546,0.0282,0.0887,-0.4368,-0.1661,0.0864,0.0099
msm_black_male,106.3368,-0.0546,0.0282,0.0887,-0.4368,-0.1661,0.0864,0.0099
msm_hisp_male,106.3368,-0.0546,0.0282,0.0887,-0.4368,-0.1661,0.0864,0.0099
msm_white_male,106.3368,-0.0546,0.0282,0.0887,-0.4368,-0.1661,0.0864,0.0099

4079fca7808bd05a22bb61efba4c0167733acff8